Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  ,Is the orientation ncKwa?,Any other defence system on same loci?,Other systems present,Remarks,Phylum,Order
2 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio kanaloae],155,155,95%,5.00E-44,19.12,204,WP_248376324.1,No,,,,Pseudomonadota,Vibrionales
2 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Ruminococcus sp.],155,155,98%,5.00E-44,20.42,196,WP_337613737.1,No,,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Limnohabitans parvus],155,155,82%,6.00E-44,20.65,200,WP_108312772.1,No,,,,Pseudomonadota,Burkholderiales
4 member(s) 2 organism(s),enterobacteria,hypothetical protein [Escherichia coli],152,152,70%,7.00E-44,21.9,140,EEZ0280623.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),proteobacteria,hypothetical protein [Pseudomonadota bacterium],154,154,97%,8.00E-44,21.58,191,MCP4294135.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,unclassified Pseudomonadota
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Gammaproteobacteria bacterium],153,153,70%,8.00E-44,23.7,150,MCF6338275.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,unclassified Gammaproteobacteria
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Clostridia bacterium],154,154,97%,9.00E-44,20.51,196,MCQ2470415.1,No,,,ncKwaB broken into two,Bacillota,unclassified Clostridia
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Algoriphagus namhaensis],154,154,94%,1.00E-43,19.17,196,WP_459240100.1,No,,,,Bacteroidota,Cytophagales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Heyndrickxia oleronia],154,154,83%,1.00E-43,26.88,192,WP_212945791.1,No,,,,Bacillota,Bacillales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Flavobacterium sp.],154,154,85%,1.00E-43,24.24,193,WP_296685834.1,No,,,,Bacteroidota,Flavobacteriales
5 member(s) 5 organism(s),enterobacteria,anti-phage protein KwaA [Enterobacter pseudoroggenkampii],154,154,94%,1.00E-43,15.98,207,WP_463726804.1,No,,,,Pseudomonadota,Enterobacterales
2 member(s) 2 organism(s),enterobacteria,MULTISPECIES: anti-phage protein KwaA [Enterobacteriaceae],153,153,88%,1.00E-43,21.79,179,WP_420889391.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Lysinibacillus fusiformis],154,154,81%,1.00E-43,25.48,194,WP_427486223.1,No,,,,Bacillota,Bacillales
4 member(s) 3 organism(s),enterobacteria,anti-phage protein KwaA [Escherichia coli],152,152,70%,2.00E-43,22.79,139,EOK1309985.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Elizabethkingia meningoseptica],153,153,84%,2.00E-43,26.11,188,WP_275150179.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Chryseobacterium oranimense],153,153,82%,2.00E-43,23.9,194,WP_073059871.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),bacteria,hypothetical protein D7V90_14160 [bacterium 1xD42-87],154,154,99%,2.00E-43,20.3,205,RKI80560.1,No,,,,unclassified Bacteria,unclassified Bacteria
2 member(s) 1 organism(s),E. coli,"anti-phage protein KwaA, partial [Escherichia coli]",152,152,75%,2.00E-43,20.67,152,WP_251287565.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),bacteria,anti-phage protein KwaA [Fidelibacterota bacterium],152,152,96%,4.00E-43,21.76,194,MFP4547890.1,No,,,,Fidelibacterota,unclassified Fidelibacterota
5 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio metoecus],153,153,95%,4.00E-43,18.63,204,WP_055045097.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Paenibacillus radicis (ex Xue et al. 2023)],152,152,97%,4.00E-43,17.95,198,WP_258212321.1,No,,,,Bacillota,Bacillales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Aeromonas salmonicida],152,152,96%,6.00E-43,16.49,195,WP_408133693.1,No,,,Has Kwa in two different loci,Pseudomonadota,Aeromonadales
1 member(s) 1 organism(s),CFB group bacteria,MAG: hypothetical protein A2W94_05850 [Bacteroidetes bacterium GWE2_42_42],152,152,83%,6.00E-43,20.62,188,OFY10229.1,No,,,,Bacteroidota,unclassified Bacteroidota
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [uncultured Chryseobacterium sp.],151,151,85%,9.00E-43,26.25,188,WP_288462548.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Sediminibacterium sp.],151,151,84%,1.00E-42,21.82,195,WP_439516670.1,No,,,,Bacteroidota,Chitinophagales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Algoriphagus resistens],151,151,84%,1.00E-42,24.07,196,WP_057938839.1,No,,,,Bacteroidota,Cytophagales
1 member(s) 1 organism(s),g-proteobacteria,"anti-phage protein KwaA, partial [Acinetobacter seifertii]",149,149,68%,1.00E-42,23.48,135,WP_151821047.1,No,,,,Pseudomonadota,Moraxellales
2 member(s) 2 organism(s),enterobacteria,anti-phage protein KwaB [Klebsiella variicola],159,159,96%,1.00E-42,21.54,514,WP_395165298.1,No,,,,Pseudomonadota,Enterobacterales
17 member(s) 4 organism(s),enterobacteria,hypothetical protein [Salmonella enterica subsp. houtenae],150,150,76%,1.00E-42,21.85,162,EDU9648380.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Janthinobacterium silvisoli],151,151,78%,2.00E-42,22.76,196,WP_183676799.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Shewanella algae],151,151,95%,2.00E-42,18.23,193,WP_208156966.1,No,,,,Pseudomonadota,Alteromonadales
2 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Cupriavidus pauculus],150,150,81%,2.00E-42,21.66,190,WP_146002091.1,No,,,,Pseudomonadota,Burkholderiales
6 member(s) 4 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio cholerae],152,152,96%,2.00E-42,17.53,230,WP_114711982.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio harveyi],151,151,74%,2.00E-42,22.54,210,WP_188015142.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Chryseobacterium sp. CT-SW4],150,150,84%,2.00E-42,23.93,194,WP_419870544.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Vibrio vulnificus],149,149,74%,3.00E-42,27.27,143,EHH1225313.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Leclercia adecarboxylata],150,150,95%,3.00E-42,16.84,198,MDU1654716.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),bacteria,anti-phage protein KwaA [Pyrinomonadaceae bacterium],150,150,99%,3.00E-42,20.5,201,MEZ5305528.1,No,,,,Acidobacteriota,Blastocatellales
2 member(s) 2 organism(s),g-proteobacteria,"hypothetical protein CGJ15_25260, partial [Vibrio parahaemolyticus]",149,149,80%,4.00E-42,23.26,172,TOF86276.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Caldifermentibacillus hisashii],150,150,95%,5.00E-42,25,194,WP_363551072.1,No,,,,Bacillota,Bacillales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Bacteroides sp.],153,153,72%,5.00E-42,25.18,294,MCD8181804.1,N/A,,,Seems to only have ncKwaA,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Rahnella victoriana],148,148,73%,6.00E-42,19.86,153,WP_232769484.1,No,,,ncKwa on two different loci,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Clostridia bacterium],150,150,85%,6.00E-42,21.6,203,MBO5512896.1,No,,,,Bacillota,unclassified Clostridia
3 member(s) 2 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Citrobacter braakii]",149,149,87%,6.00E-42,21.47,177,WP_049040732.1,No,,,Seems to only have ncKwaA,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Polaromonas sp. CG_9.11],149,149,82%,6.00E-42,20.51,200,WP_196870741.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Clostridium sp. Marseille-P2415],148,148,77%,6.00E-42,25.49,157,WP_077611612.1,N/A,,,Seems to only have ncKwaA,Bacillota,Eubacteriales
3 member(s) 2 organism(s),CFB group bacteria,anti-phage protein KwaA [Wenyingzhuangia heitensis],150,150,84%,7.00E-42,20.37,204,WP_167190739.1,N/A,,,Seems to only have ncKwaA,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Aliivibrio fischeri],149,149,96%,7.00E-42,18.32,192,WP_233946552.1,No,,,,Pseudomonadota,Vibrionales
3 member(s) 3 organism(s),CFB group bacteria,anti-phage protein KwaA [Pedobacter petrophilus],149,149,95%,9.00E-42,19.79,193,WP_209437728.1,No,,,,Bacteroidota,Sphingobacteriales
2 member(s) 2 organism(s),enterobacteria,anti-phage protein KwaA [Erwinia sp. S38],149,149,94%,1.00E-41,16.49,197,WP_200546977.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Eubacterium sp.],149,149,96%,1.00E-41,20.21,202,MEG0075700.1,No,,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Enterobacter sp. kpr-6],149,149,94%,1.00E-41,18.04,198,WP_177220109.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Lewinellaceae bacterium],149,149,92%,1.00E-41,21.62,186,MCB9341275.1,No,,,,Bacteroidota,Saprospirales
1 member(s) 1 organism(s),g-proteobacteria,conserved hypothetical protein [Histophilus somni 129PT],147,147,79%,1.00E-41,23.03,155,ABI24493.1,No,,,ncKwaB broken into two,Pseudomonadota,Pasteurellales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Chitinophaga filiformis],149,149,94%,1.00E-41,21.93,208,WP_236394960.1,No,,,,Bacteroidota,Chitinophagales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Oscillospiraceae bacterium 38-13],147,147,84%,1.00E-41,20.25,163,MEY8389349.1,No,,,,Bacillota,Eubacteriales
2 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Emticicia oligotrophica],148,148,92%,1.00E-41,20.99,181,WP_015026259.1,N/A,,,Seems to only have ncKwaA,Bacteroidota,Cytophagales
2 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Acinetobacter nosocomialis],148,148,83%,2.00E-41,22.36,176,WP_373865652.1,No,,,,Pseudomonadota,Moraxellales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Alkalibacterium putridalgicola],148,148,97%,2.00E-41,21.86,184,WP_091486397.1,No,,,,Bacillota,Lactobacillales
14 member(s) 6 organism(s),enterobacteria,anti-phage protein KwaA [Escherichia coli],149,149,97%,2.00E-41,20.81,198,WP_000836922.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),b-proteobacteria,hypothetical protein [Burkholderiales bacterium],149,149,98%,2.00E-41,20.4,206,MBV8659829.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Lachnospiraceae bacterium],148,148,78%,2.00E-41,20.81,181,MBD5462006.1,No,,,,Bacillota,Lachnospirales
2 member(s) 2 organism(s),firmicutes,anti-phage protein KwaA [uncultured Gemmiger sp.],148,148,99%,2.00E-41,23.23,204,WP_294805136.1,No,,,,Bacillota,Eubacteriales
3 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Sutterella wadsworthensis],147,147,95%,4.00E-41,20.54,194,WP_165659739.1,No,,,,Pseudomonadota,Burkholderiales
3 member(s) 3 organism(s),firmicutes,anti-phage protein KwaA [Bacillus timonensis],147,147,85%,4.00E-41,26.38,197,WP_408605281.1,No,,,ncKwaB broken into two,Bacillota,Bacillales
2 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Acinetobacter baumannii],147,147,84%,5.00E-41,21.47,190,WP_163048518.1,No,,,,Pseudomonadota,Moraxellales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Methylobacter sp.],145,145,77%,5.00E-41,24.03,155,HEY8037086.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Methylococcales
2 member(s) 2 organism(s),enterobacteria,"anti-phage protein KwaA, partial [Klebsiella ornithinolytica]",145,145,69%,5.00E-41,22.96,138,WP_404695021.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Wenyingzhuangia sp. 2_MG-2023],147,147,85%,6.00E-41,24.54,206,WP_303456111.1,N/A,,,Seems to only have ncKwaA,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Paenibacillus sp. FSL H8-0261],147,147,84%,6.00E-41,25.93,194,WP_405175595.1,No,,,,Bacillota,Bacillales
1 member(s) 1 organism(s),enterobacteria,MULTISPECIES: anti-phage protein KwaA [Serratia],147,147,95%,7.00E-41,17.35,197,WP_262943145.1,No,,,,Pseudomonadota,Enterobacterales
2 member(s) 1 organism(s),bacteria,anti-phage protein KwaA [Leptospira ognonensis],147,147,94%,8.00E-41,20,192,WP_135623801.1,No,,,,Spirochaetota,Leptospirales
2 member(s) 2 organism(s),CFB group bacteria,anti-phage protein KwaA [Chryseobacterium gotjawalense],146,146,94%,8.00E-41,22.58,188,WP_282905195.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Sporosarcina sp. SAFN-010],147,147,84%,9.00E-41,25.15,195,WP_440505029.1,No,,,,Bacillota,Bacillales
2 member(s) 2 organism(s),CFB group bacteria,anti-phage protein KwaA [Macellibacteroides fermentans],146,146,94%,1.00E-40,21.99,192,WP_079683435.1,No,,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Paludibacteraceae bacterium],146,146,77%,1.00E-40,26.17,185,MBP8967279.1,No,,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Aquitalea denitrificans],146,146,98%,2.00E-40,18.91,206,WP_159875947.1,No,,,,Pseudomonadota,Neisseriales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Serratia sp. Je.1.23.a],146,146,96%,2.00E-40,16.49,199,WP_434678746.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Undibacterium sp. SXout7W],146,146,98%,2.00E-40,19.4,206,WP_423049159.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Plebeiibacterium sediminum],145,145,92%,2.00E-40,23.5,184,WP_301191859.1,No,,,,Bacteroidota,Marinilabiliales
2 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio splendidus],145,145,95%,2.00E-40,18.54,205,WP_114635258.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Neobacillus paridis],145,145,82%,3.00E-40,21.79,200,WP_202654795.1,N/A,,,Seems to only have ncKwaA,Bacillota,Bacillales
2 member(s) 2 organism(s),bacteria,hypothetical protein [bacterium],145,145,92%,3.00E-40,19.46,196,MBO5947443.1,No,,,,unclassified Bacteria,unclassified Bacteria
1 member(s) 1 organism(s),,anti-phage protein KwaA [Ochrovirga sp.],144,144,76%,3.00E-40,26.03,165,MHN8896447.1,N/A,,,Seems to only have ncKwaA,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),CFB group bacteria,"anti-phage protein KwaA, partial [uncultured Dysgonomonas sp.]",144,144,72%,3.00E-40,27.34,167,WP_298940191.1,N/A,,,Seems to only have ncKwaA,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Cyclobacteriaceae bacterium],145,145,84%,3.00E-40,24.07,196,MDH5365698.1,No,,,,Bacteroidota,Cytophagales
1 member(s) 1 organism(s),E. coli,"anti-phage protein KwaA, partial [Escherichia coli]",142,142,66%,5.00E-40,24.39,130,WP_286205924.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Bacteroidales bacterium],144,144,85%,5.00E-40,18.87,185,MEE0235350.1,No,,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Pedobacter gandavensis],144,144,92%,6.00E-40,23.63,181,WP_281031558.1,No,,,,Bacteroidota,Sphingobacteriales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Flavobacterium croceum],144,144,82%,7.00E-40,21.02,189,WP_282787908.1,No,,,,Bacteroidota,Flavobacteriales
9 member(s) 1 organism(s),E. coli,anti-phage protein KwaA [Escherichia coli],144,144,95%,8.00E-40,19.49,196,WP_061091952.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Bacteroidota bacterium],144,144,92%,8.00E-40,20.22,184,MBK7967982.1,N/A,,,Seems to only have ncKwaA,Bacteroidota,unclassified Bacteroidota
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Capnocytophaga sputigena],144,144,84%,9.00E-40,21.74,190,WP_424653440.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Ochrovirga pacifica],144,144,85%,1.00E-39,25.77,202,WP_071585701.1,N/A,,,Seems to only have ncKwaA,Bacteroidota,Flavobacteriales
2 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Limnohabitans sp. 2KL-17],144,144,81%,1.00E-39,21.02,206,WP_146180923.1,No,,,,Pseudomonadota,Burkholderiales
4 member(s) 1 organism(s),E. coli,hypothetical protein [Escherichia coli],141,141,60%,1.00E-39,24.58,121,EFD0545120.1,No,,,,Pseudomonadota,Enterobacterales
2 member(s) 2 organism(s),CFB group bacteria,anti-phage protein KwaA [Capnocytophaga catalasegens],143,143,85%,1.00E-39,22.64,186,WP_264844924.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),bacteria,anti-phage protein KwaA [Synergistota bacterium],142,142,75%,1.00E-39,20.14,144,MDI9370835.1,No,,,,Synergistota,unclassified Synergistota
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Undibacterium sp. RuTC16W],144,144,98%,2.00E-39,17.91,206,WP_422957273.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Paenibacillus sp. FSL R7-277],143,143,92%,2.00E-39,20.32,189,WP_036733505.1,No,,,,Bacillota,Bacillales
1 member(s) 1 organism(s),bacteria,anti-phage protein KwaA [Pyrinomonadaceae bacterium],142,142,96%,5.00E-39,18.95,201,MFM9903631.1,No,,,,Acidobacteriota,Blastocatellales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Pseudoxanthomonas taiwanensis],140,140,80%,5.00E-39,19.11,150,WP_162125139.1,No,,,,Pseudomonadota,Lysobacterales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Serratia sp. T13T92],142,142,93%,6.00E-39,19.79,197,WP_414823935.1,No,,,,Pseudomonadota,Enterobacterales
3 member(s) 3 organism(s),g-proteobacteria,MULTISPECIES: anti-phage protein KwaA [Acinetobacter],142,142,83%,6.00E-39,22.36,197,WP_130168919.1,No,,,,Pseudomonadota,Moraxellales
2 member(s) 2 organism(s),bacteria,anti-phage protein KwaA [Flavobacterium sp.],141,141,91%,8.00E-39,19.57,186,HPW98355.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),firmicutes,anti-phage protein KwaA [Petroclostridium xylanilyticum],141,141,96%,9.00E-39,19.69,196,WP_463210262.1,No,,,,Bacillota,Eubacteriales
1 member(s) 1 organism(s),firmicutes,hypothetical protein [Syntrophomonas sp.],141,141,98%,1.00E-38,21.83,203,HBQ26076.1,No,,,,Bacillota,Eubacteriales
5 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Sutterella wadsworthensis],140,140,90%,1.00E-38,22.73,181,WP_410105240.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Salmonella enterica],139,139,72%,1.00E-38,20.98,145,EKP5184167.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Vibrio vulnificus],139,139,75%,1.00E-38,22.07,145,EHI9274977.1,No,,,,Pseudomonadota,Vibrionales
10 member(s) 4 organism(s),enterobacteria,anti-phage protein KwaA [Yersinia ruckeri],141,141,98%,1.00E-38,21.74,212,WP_265316553.1,No,,,,Pseudomonadota,Enterobacterales
3 member(s) 2 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio hyugaensis],141,141,86%,1.00E-38,20,193,WP_045403049.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Telluribacter sp.],140,140,92%,2.00E-38,20.11,186,WP_414717299.1,No,,,,Bacteroidota,Cytophagales
1 member(s) 1 organism(s),g-proteobacteria,"anti-phage protein KwaA, partial [Vibrio parahaemolyticus]",139,139,75%,2.00E-38,23.33,150,WP_219588576.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Vibrionales
2 member(s) 2 organism(s),CFB group bacteria,anti-phage protein KwaA [Rurimicrobium arvi],140,140,92%,2.00E-38,22.1,181,WP_344825704.1,No,,,,Bacteroidota,Chitinophagales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Aliivibrio sp. EL58],138,138,70%,2.00E-38,22.22,142,WP_371413444.1,No,,,,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),g-proteobacteria,DUF4868 domain-containing protein [Vibrio parahaemolyticus],148,148,83%,2.00E-38,22.5,513,HCE1492872.1,N/A,,,Seems to have ncKwaA inside ncKwaB,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein [Cytophagales bacterium],140,140,94%,3.00E-38,22.04,191,MBD0260626.1,No,,,,Bacteroidota,Cytophagales
1 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Acinetobacter bereziniae],140,140,83%,3.00E-38,22.36,197,WP_151776169.1,No,,,,Pseudomonadota,Moraxellales
1 member(s) 1 organism(s),enterobacteria,anti-phage protein KwaA [Klebsiella ornithinolytica],138,138,68%,3.00E-38,22.73,138,EQB3642362.1,No,,,,Pseudomonadota,Enterobacterales
3 member(s) 2 organism(s),CFB group bacteria,anti-phage protein KwaA [Zunongwangia sp. SCSIO 43204],139,139,93%,4.00E-38,21.39,186,WP_304956788.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Chryseobacterium glaciei],139,139,85%,5.00E-38,22.01,185,WP_066758887.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Puia sp.],139,139,94%,6.00E-38,19.47,190,HLY72310.1,No,,,,Bacteroidota,Chitinophagales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Sutterella wadsworthensis],139,139,93%,6.00E-38,20.33,188,WP_472911561.1,No,,,,Pseudomonadota,Burkholderiales
1 member(s) 1 organism(s),e-proteobacteria,anti-phage protein KwaA [Aliarcobacter cryaerophilus],138,138,75%,6.00E-38,24.16,150,WP_390870466.1,No,,,,Campylobacterota,Campylobacterales
4 member(s) 3 organism(s),enterobacteria,MULTISPECIES: anti-phage protein KwaA [Pantoea],139,139,84%,7.00E-38,20.13,197,WP_167430945.1,No,,,,Pseudomonadota,Enterobacterales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Mucilaginibacter sp. SG564],138,138,92%,9.00E-38,21.31,184,WP_172338219.1,No,,,,Bacteroidota,Sphingobacteriales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Epilithonimonas vandammei],138,138,85%,9.00E-38,22.5,186,WP_313599315.1,No,,,,Bacteroidota,Flavobacteriales
1 member(s) 1 organism(s),CFB group bacteria,hypothetical protein JCM15907A_12310 [Porphyromonas gingivicanis],136,136,62%,9.00E-38,27.87,125,BHA11068.1,No,,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),GNS bacteria,MAG: hypothetical protein E6I32_16530 [Chloroflexota bacterium],138,138,96%,1.00E-37,17.78,175,TMF43390.1,No,,,,Chloroflexota,unclassified Chloroflexota
2 member(s) 2 organism(s),g-proteobacteria,"anti-phage protein KwaA, partial [Aeromonas hydrophila]",136,136,70%,1.00E-37,20.59,137,WP_323061854.1,No,,,,Pseudomonadota,Aeromonadales
3 member(s) 3 organism(s),CFB group bacteria,anti-phage protein KwaA [Bacteroides sp. OM05-12],138,138,94%,2.00E-37,19.37,194,WP_122127471.1,No,,,,Bacteroidota,Bacteroidales
4 member(s) 2 organism(s),CFB group bacteria,anti-phage protein KwaA [Phocaeicola plebeius],137,137,84%,2.00E-37,27.95,189,WP_346711933.1,No,,,,Bacteroidota,Bacteroidales
1 member(s) 1 organism(s),b-proteobacteria,anti-phage protein KwaA [Aromatoleum tolulyticum],138,138,98%,3.00E-37,18.91,206,WP_076602022.1,No,,,,Pseudomonadota,Rhodocyclales
2 member(s) 1 organism(s),g-proteobacteria,"anti-phage protein KwaA, partial [Vibrio parahaemolyticus]",136,136,73%,3.00E-37,18.24,148,WP_140137640.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Vibrionales
3 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio cholerae],137,137,80%,4.00E-37,16.96,173,HFG1759792.1,N/A,,,Seems to only have ncKwaA,Pseudomonadota,Vibrionales
1 member(s) 1 organism(s),CFB group bacteria,anti-phage protein KwaA [Bacteroides caecicola],137,137,96%,4.00E-37,22.56,196,WP_249053310.1,No,,,,Bacteroidota,Bacteroidales
6 member(s) 1 organism(s),g-proteobacteria,anti-phage protein KwaA [Vibrio parahaemolyticus],136,136,84%,6.00E-37,22.22,171,WP_050550956.1,No,,,,Pseudomonadota,Vibrionales
27 member(s) 8 organism(s),enterobacteria,MULTISPECIES: anti-phage protein KwaA [Enterobacteriaceae],137,137,98%,6.00E-37,19.81,211,WP_032269064.1,No,,,,Pseudomonadota,Enterobacterales
